ts,close
1600300800,0.00031637
1600387200,0.00063327
1600473600,0.0005163
1600560000,0.00047859
1600646400,0.00040692
1600732800,0.00037136
1600819200,0.00042737
1600905600,0.0004811
1600992000,0.00046
1601078400,0.00045474
1601164800,0.0004498
1601251200,0.00039667
1601337600,0.00040477
1601424000,0.00038579
1601510400,0.00040001
1601596800,0.00036862
1601683200,0.00037003
1601769600,0.00034889
1601856000,0.00030798
1601942400,0.00025629
1602028800,0.00027783
1602115200,0.00030657
1602201600,0.00030643
1602288000,0.00029191
1602374400,0.00029585
1602460800,0.00029971
1602547200,0.0002936
1602633600,0.00027257
1602720000,0.00026778
1602806400,0.00026917
1602892800,0.00026932
1602979200,0.00028506
1603065600,0.00026979
1603152000,0.00024013
1603238400,0.00022959
1603324800,0.00023454
1603411200,0.00023305
1603497600,0.0002245
1603584000,0.00021257
1603670400,0.00020765
1603756800,0.000206
1603843200,0.0002006
1603929600,0.00018875
1604016000,0.00017804
1604102400,0.00016425
1604188800,0.00017271
1604275200,0.00016612
1604361600,0.00015246
1604448000,0.00013637
1604534400,0.00014063
1604620800,0.00016517
1604707200,0.00016688
1604793600,0.00018523
1604880000,0.00017482
1604966400,0.00020108
1605052800,0.00018685
1605139200,0.00018154
1605225600,0.00023636
1605312000,0.00023723
1605398400,0.00024106
1605484800,0.00021342
1605571200,0.00021559
1605657600,0.00019483
1605744000,0.00021049
1605830400,0.00020674
1605916800,0.00020532
1606003200,0.0002
1606089600,0.00022766
1606176000,0.00021224
1606262400,0.00019648
1606348800,0.00020002
1606435200,0.000193
1606521600,0.00019533
1606608000,0.00019539
1606694400,0.00019179
1606780800,0.00018897
1606867200,0.00020531
1606953600,0.00019986
1607040000,0.00018868
1607126400,0.00019232
1607212800,0.00018839
1607299200,0.00019596
1607385600,0.00017993
1607472000,0.00018093
1607558400,0.00017765
1607644800,0.00016413
1607731200,0.00016605
1607817600,0.00017393
1607904000,0.00018041
1607990400,0.00017108
1608076800,0.00016601
1608163200,0.00016141
1608249600,0.00016293
1608336000,0.00016628
1608422400,0.00016014
1608508800,0.00015462
1608595200,0.00015684
1608681600,0.00014272
1608768000,0.00014855
1608854400,0.00014194
1608940800,0.00012894
1609027200,0.00013678
1609113600,0.00013792
1609200000,0.00013399
1609286400,0.00014372
1609372800,0.00017844
1609459200,0.00016176
1609545600,0.00015088
1609632000,0.00016723
1609718400,0.00016972
1609804800,0.00018423
1609891200,0.00017448
1609977600,0.00015866
1610064000,0.0001447
1610150400,0.00015533
1610236800,0.00015649
1610323200,0.00014811
1610409600,0.00016409
1610496000,0.00016968
1610582400,0.00017789
1610668800,0.0002006
1610755200,0.00023304
1610841600,0.00024257
1610928000,0.00025063
1611014400,0.00023886
1611100800,0.00025312
1611187200,0.00024598
1611273600,0.00026388
1611360000,0.00029129
1611446400,0.00037233
1611532800,0.00035068
1611619200,0.00042824
1611705600,0.00048618
1611792000,0.00042232
1611878400,0.0004571
1611964800,0.00057215
1612051200,0.00053565
1612137600,0.00061156
1612224000,0.00053452
1612310400,0.00052403
1612396800,0.00054363
1612483200,0.00055275
1612569600,0.00049053
1612656000,0.00048103
1612742400,0.00041671
1612828800,0.00041998
1612915200,0.00046143
1613001600,0.00044778
1613088000,0.00047862
1613174400,0.00046167
1613260800,0.00042882
1613347200,0.00041899
1613433600,0.00041577
1613520000,0.00041308
1613606400,0.00041058
1613692800,0.00035911
1613779200,0.00051522
1613865600,0.00050162
1613952000,0.00051225
1614038400,0.0005075
1614124800,0.00050809
1614211200,0.00049884
1614297600,0.00049938
1614384000,0.00051056
1614470400,0.00049186
1614556800,0.00051814
1614643200,0.000527
1614729600,0.00050306
1614816000,0.00058443
1614902400,0.00058004
1614988800,0.0005835
1615075200,0.00067227
1615161600,0.00063445
1615248000,0.0005989
1615334400,0.00055252
1615420800,0.00053666
1615507200,0.00053996
1615593600,0.00053021
1615680000,0.00051923
1615766400,0.00053572
1615852800,0.00052742
1615939200,0.00053096
1616025600,0.00052012
1616112000,0.00057321
1616198400,0.0005511
1616284800,0.00057413
1616371200,0.00060686
1616457600,0.00057049
1616544000,0.00052058
1616630400,0.0005165
1616716800,0.00052516
1616803200,0.00050487
1616889600,0.00049929
1616976000,0.00050381
1617062400,0.00048605
1617148800,0.00047721
1617235200,0.00048806
1617321600,0.00051262
1617408000,0.00051451
1617494400,0.00053114
1617580800,0.00052167
1617667200,0.0005386
1617753600,0.00051033
1617840000,0.00052003
1617926400,0.00050791
1618012800,0.00049798
1618099200,0.0004984
1618185600,0.00061295
1618272000,0.0005577
1618358400,0.00057222
1618444800,0.00059729
1618531200,0.00058915
1618617600,0.00057897
1618704000,0.0005626
1618790400,0.00056377
1618876800,0.00056644
1618963200,0.00062087
1619049600,0.00065657
1619136000,0.00064457
1619222400,0.00060327
1619308800,0.00069999
1619395200,0.00070598
1619481600,0.00071962
1619568000,0.00078122
1619654400,0.00076663
1619740800,0.00070472
1619827200,0.00069812
1619913600,0.00075344
1620000000,0.00074
1620086400,0.00081023
1620172800,0.0007383
1620259200,0.00071359
1620345600,0.00069291
1620432000,0.0006875
1620518400,0.00067719
1620604800,0.00065117
1620691200,0.0006796
1620777600,0.00074468
1620864000,0.00075175
1620950400,0.00080994
1621036800,0.00078281
1621123200,0.000788
1621209600,0.00076486
1621296000,0.00081701
1621382400,0.00063198
1621468800,0.00064928
1621555200,0.00058852
1621641600,0.00054374
1621728000,0.00048199
1621814400,0.00063632
1621900800,0.00065501
1621987200,0.0007495
1622073600,0.00074024
1622160000,0.0007255
1622246400,0.00067031
1622332800,0.00072158
1622419200,0.00075858
1622505600,0.00074718
1622592000,0.00073512
1622678400,0.00073088
1622764800,0.00071735
1622851200,0.0007216
1622937600,0.00072191
1623024000,0.00072357
1623110400,0.00070135
1623196800,0.0006713
1623283200,0.00064298
1623369600,0.00058453
1623456000,0.00059903
1623542400,0.00059596
1623628800,0.00059678
1623715200,0.00058321
1623801600,0.00056913
1623888000,0.00058208
1623974400,0.00056994
1624060800,0.00055696
1624147200,0.00058207
1624233600,0.00049982
1624320000,0.00050463
1624406400,0.00052866
1624492800,0.00052064
1624579200,0.00050133
1624665600,0.00049973
1624752000,0.00049243
1624838400,0.00051428
1624924800,0.00051925
1625011200,0.00055043
1625097600,0.00053072
1625184000,0.00053897
1625270400,0.00056154
1625356800,0.00058869
1625443200,0.00059526
1625529600,0.00065412
1625616000,0.00065706
1625702400,0.00061895
1625788800,0.00062023
1625875200,0.00060396
1625961600,0.00060411
1626048000,0.00059077
1626134400,0.0005639
1626220800,0.00054466
1626307200,0.00053568
1626393600,0.00052087
1626480000,0.00051087
1626566400,0.00051329
1626652800,0.00051021
